transaction_date,post_date,description,category,amount,month,day_of_month,day_of_week,is_weekend,transaction_month,description_length,has_numbers,word_count
2020-10-30,2020-11-02,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,38.7,Nov_2020,30,4,0,10,22,0,4
2020-10-30,2020-11-02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,13.25,Nov_2020,30,4,0,10,20,1,1
2020-10-30,2020-11-02,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.38,Nov_2020,30,4,0,10,20,1,1
2020-10-31,2020-11-02,DOMINOS PIZZA 10210,WINNIPEG MB Restaurants,14.55,Nov_2020,31,5,1,10,19,1,3
2020-10-31,2020-11-02,FIVE,GUYS BURGERS & FR WINNIPEG MB Restaurants,16.43,Nov_2020,31,5,1,10,4,0,1
2020-11-01,2020-11-02,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,29.21,Nov_2020,1,6,1,11,9,0,1
2020-11-02,2020-11-03,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,26.5,Nov_2020,2,0,0,11,9,0,1
2020-11-02,2020-11-05,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.38,Nov_2020,2,0,0,11,20,1,1
2020-11-04,2020-11-05,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,25.43,Nov_2020,4,2,0,11,9,0,1
2020-11-04,2020-11-06,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,4.54,Nov_2020,4,2,0,11,20,1,3
2020-11-04,2020-11-09,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,12.86,Nov_2020,4,2,0,11,20,1,1
2020-11-05,2020-11-09,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,40.3,Nov_2020,5,3,0,11,17,1,4
2020-11-07,2020-11-09,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,60.36,Nov_2020,7,5,1,11,22,0,4
2020-11-08,2020-11-10,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,21.27,Nov_2020,8,6,1,11,17,1,4
2020-11-09,2020-11-10,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,27.1,Nov_2020,9,0,0,11,9,0,1
